generation,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,seed_17,seed_18,seed_19,mean,std
0,235.87,273.90,226.11,227.63,326.39,245.88,218.30,252.96,283.52,315.40,226.76,227.33,206.60,232.61,222.27,258.14,265.56,265.94,237.08,276.29,251.23,31.23
1,242.41,290.77,211.91,214.63,297.12,256.86,242.88,238.62,304.32,289.58,233.68,233.03,209.87,220.34,232.80,251.65,288.21,258.09,227.58,253.14,249.87,28.95
2,247.09,311.26,219.01,256.81,277.51,272.65,222.54,269.54,299.69,313.59,220.96,228.20,224.08,225.09,220.22,269.77,298.00,271.90,231.89,263.13,257.15,31.49
3,240.36,322.85,218.50,252.84,316.12,278.27,231.93,242.98,311.07,302.50,235.67,229.29,226.55,226.83,238.53,264.75,293.73,282.75,224.31,284.44,261.21,33.78
4,274.72,312.45,243.30,229.47,292.80,275.31,246.00,275.86,312.22,314.78,218.13,228.14,231.36,221.26,240.20,249.64,250.27,281.58,227.96,271.21,259.83,30.79
5,266.34,316.62,228.77,262.94,307.04,300.37,228.73,293.67,303.04,347.40,230.19,229.51,222.52,216.74,228.42,255.71,279.69,269.80,240.49,290.23,265.91,36.65
6,252.67,316.97,239.95,215.74,323.50,311.63,273.71,282.21,330.09,306.43,236.34,236.18,227.44,232.98,214.86,268.87,281.27,302.12,223.42,298.72,268.76,37.86
7,255.38,340.62,222.86,220.70,352.80,306.62,253.46,296.97,335.94,310.31,226.06,219.23,221.57,236.51,233.88,261.97,259.96,287.76,246.13,268.51,267.86,41.99
8,254.52,331.47,243.41,235.21,303.75,296.36,261.40,297.09,329.42,337.35,228.49,225.09,211.25,236.05,218.81,251.36,275.13,280.21,254.10,291.07,268.08,37.89
9,246.82,335.50,258.36,225.84,298.26,309.58,262.36,275.50,318.61,354.53,219.56,224.54,227.01,235.52,224.22,256.96,282.86,291.50,273.26,267.43,269.41,38.36
10,265.76,317.86,241.32,281.31,317.48,293.05,276.08,319.71,339.12,335.34,235.71,224.42,210.86,226.15,227.48,254.46,251.23,304.32,229.64,286.02,271.87,39.79
11,291.74,339.90,244.28,218.53,325.12,308.08,275.83,309.54,328.19,383.73,226.48,231.73,225.87,229.25,231.51,324.66,279.14,315.07,230.80,305.64,281.25,47.38
12,271.00,352.10,247.87,243.57,332.77,308.71,294.17,310.73,311.25,351.79,224.58,226.75,209.42,225.46,221.51,287.66,283.58,302.18,261.23,293.36,277.98,42.91
13,297.33,337.52,270.57,224.27,377.56,319.45,315.79,308.51,357.49,315.03,240.98,223.27,212.60,226.41,229.18,299.71,260.08,297.33,251.90,277.34,282.12,46.76
14,292.23,341.25,292.62,234.01,333.68,311.82,275.38,325.51,346.61,311.16,237.76,220.27,229.87,229.82,228.37,292.05,294.02,310.30,266.71,320.46,284.70,40.77
15,272.48,342.60,261.88,250.05,328.44,322.74,295.47,296.55,336.06,313.25,227.21,229.82,231.04,220.13,224.03,304.84,268.85,292.07,296.47,295.41,280.47,38.69
16,282.16,338.49,260.32,257.01,296.44,327.11,299.72,330.97,349.97,328.47,232.32,227.86,217.52,224.10,228.20,314.70,267.70,300.04,258.56,296.58,281.91,41.34
17,310.92,342.70,310.43,236.98,348.10,321.53,287.35,273.64,353.49,318.19,229.23,225.73,226.07,228.25,214.00,288.49,309.26,295.88,263.36,296.65,284.01,43.51
18,309.70,344.98,286.09,271.20,370.49,321.55,296.97,312.98,368.41,320.32,232.64,226.60,224.30,234.60,217.25,364.15,298.56,315.02,249.27,328.15,294.66,48.87
19,296.50,342.19,284.71,230.90,345.54,317.32,291.09,307.00,331.48,302.99,225.10,222.04,225.03,232.27,227.02,292.49,292.05,348.04,263.74,321.84,284.97,43.14
20,328.68,337.33,377.00,252.62,336.19,316.18,342.25,304.19,337.77,354.53,220.78,224.41,221.00,241.17,227.64,306.09,286.68,315.59,282.52,296.20,295.44,47.67
21,314.17,327.85,290.81,233.92,399.16,321.82,335.30,313.63,329.60,345.28,226.15,227.16,232.49,228.78,232.21,283.65,289.14,317.12,271.95,298.66,290.94,47.38
22,322.86,337.72,293.79,310.19,319.60,324.10,308.44,304.67,380.58,324.15,244.23,227.92,223.60,238.50,219.26,311.71,274.60,314.20,283.78,303.48,293.37,41.86
23,300.50,332.89,278.47,247.01,335.38,327.93,313.01,339.84,366.00,345.92,233.11,230.33,234.38,240.08,218.72,320.64,342.24,311.27,293.48,313.91,296.26,45.13
24,359.41,339.03,283.61,249.86,350.42,325.90,309.16,323.92,339.69,357.84,223.67,223.19,226.64,221.02,224.51,328.75,306.50,322.84,269.88,304.13,294.50,48.67
25,328.50,334.34,331.27,271.42,336.94,319.18,327.16,305.19,335.91,359.78,240.46,235.34,230.58,227.81,234.17,297.26,308.11,320.72,275.78,352.60,298.62,43.04
26,380.03,328.40,292.15,279.56,328.72,344.08,319.02,339.11,331.94,342.04,221.02,230.21,210.44,236.09,227.54,364.30,290.24,319.88,307.24,324.00,300.80,49.42
27,358.09,347.12,300.77,229.50,321.19,331.70,313.13,352.66,368.80,373.12,228.40,231.81,222.98,225.24,217.66,353.41,322.29,317.12,293.77,305.97,300.74,53.30
28,347.89,365.57,299.35,260.29,364.91,334.26,308.80,356.52,367.17,390.96,224.77,228.97,224.33,259.98,226.53,311.00,317.70,317.47,293.04,336.18,306.78,52.07
29,342.88,344.48,298.00,254.29,362.73,310.28,338.12,323.82,423.80,342.88,223.76,226.47,228.63,243.13,219.63,298.88,296.39,317.84,299.46,330.06,301.28,53.08
30,331.64,341.46,304.81,274.44,339.08,319.31,311.27,352.33,356.90,323.71,237.92,225.53,226.36,245.21,232.77,346.44,303.75,325.46,316.89,326.85,302.11,43.61
31,362.12,358.52,312.74,264.84,335.89,331.68,339.14,345.96,358.69,341.62,235.38,222.03,214.24,243.93,226.99,298.55,304.89,323.35,302.78,323.60,302.35,48.43
32,301.78,360.52,303.60,290.95,363.76,317.90,303.57,360.76,332.41,355.91,228.30,224.97,219.44,220.72,218.53,318.04,318.79,319.99,327.77,305.44,299.66,49.03
33,328.19,331.88,311.63,274.57,379.53,328.38,350.71,354.66,359.55,341.23,229.11,231.84,225.83,243.32,230.07,308.31,306.90,320.53,331.37,322.94,305.53,47.56
34,335.01,366.13,306.13,270.47,329.84,337.29,327.58,339.95,354.37,369.88,236.78,224.11,211.87,238.94,233.24,296.69,315.21,328.91,299.20,314.07,301.78,47.91
35,332.76,346.49,321.62,253.32,373.77,338.62,300.73,353.37,351.96,385.37,231.81,231.18,214.89,252.05,226.59,297.18,315.31,328.88,304.25,370.28,306.52,52.51
